label,feature
19,7:1 850:1.0 3143:1.0 3144:1.0 57:1.0 1213:1.0 3592:1.0 4301:1.0 28263:1.0 28264:1.0 28265:1.0 28266:1.0 82:1.0 4021:1.0 4022:1.0 97:1.0 379:1.0 103:0.6666666666666666 683:0.3333333333333333 104:1.0 685:1.0 1372:1.0 6823:1.0 12574:1.0 29492:1.0 29493:1.0 29494:1.0 474:1.0 475:1.0 476:1.0 3785:1.0 29502:1.0 29503:1.0 3309:1.0 3309:1.0 4100:0.5 4100:0.5 41598:1.0 29548:1.0 29549:1.0 7457:0.5 7458:0.5 204:1.0 27647:1.0 
3,19:1 1220:1.0 4306:1.0 28267:1.0 71:1.0 72:1.0 73:1.0 4014:1.0 4015:1.0 4016:1.0 4017:1.0 4018:1.0 1286:1.0 1287:1.0 1288:1.0 380:1.0 103:1.0 381:0.5 389:1.0 107:1.0 423:1.0 1360:1.0 4042:1.0 4043:1.0 1407:1.0 1408:1.0 4061:1.0 4062:1.0 29515:1.0 29515:1.0 41567:1.0 1534:0.5 1534:0.5 31888:1.0 4121:1.0 4122:1.0 197:0.5 198:0.5 204:1.0 41636:1.0 212:1.0 
9,3:1 79:1.0 4019:1.0 4020:1.0 264:1.0 1276:1.0 1277:1.0 1278:1.0 1279:1.0 1280:1.0 1281:1.0 1282:1.0 831:1.0 2185:1.0 3712:1.0 105:1.0 388:1.0 381:0.6666666666666666 391:0.3333333333333333 104:1.0 398:1.0 957:1.0 1367:1.0 446:1.0 1420:1.0 4083:1.0 4083:1.0 31875:1.0 69087:0.5 69087:0.5 1590:1.0 1591:1.0 744:0.5 745:0.5 204:1.0 212:1.0 
3,9:1 1283:1.0 1284:1.0 1285:1.0 71:1.0 821:1.0 1226:1.0 2178:1.0 2179:1.0 3708:1.0 3709:1.0 3710:1.0 327:1.0 1891:1.0 13989:1.0 390:1.0 103:1.0 98:0.5 389:1.0 106:1.0 909:1.0 910:1.0 911:1.0 69025:1.0 69026:1.0 148:1.0 2963:1.0 9921:1.0 50380:1.0 50381:1.0 1479:1.0 1479:1.0 14046:0.5 14046:0.5 69111:1.0 1116:0.5 1117:0.5 204:1.0 212:1.0 
10,3:1 828:1.0 2183:1.0 3711:1.0 71:1.0 317:1.0 353:1.0 645:1.0 646:1.0 13985:1.0 13986:1.0 13987:1.0 853:1.0 23556:1.0 51716:1.0 105:1.0 388:1.0 391:0.6666666666666666 683:0.3333333333333333 389:1.0 398:1.0 936:1.0 937:1.0 6699:1.0 6700:1.0 14000:1.0 14001:1.0 471:1.0 472:1.0 14012:1.0 14013:1.0 14014:1.0 14015:1.0 69066:1.0 69066:1.0 51761:0.5 51761:0.5 14059:1.0 14060:1.0 1575:0.5 1576:0.5 204:1.0 212:1.0 
9,10:1 324:1.0 650:1.0 13988:1.0 264:1.0 843:1.0 2206:1.0 23549:1.0 51711:1.0 51712:1.0 51713:1.0 51714:1.0 327:1.0 328:1.0 329:1.0 390:1.0 388:1.0 391:0.6666666666666666 683:0.3333333333333333 387:1.0 398:1.0 954:1.0 1363:1.0 4057:1.0 51724:1.0 51725:1.0 471:1.0 7986:1.0 7987:1.0 7988:1.0 7989:1.0 14032:1.0 14032:1.0 554:0.5 554:0.5 51776:1.0 51777:1.0 1116:0.5 1117:0.5 204:1.0 212:1.0 
2,9:1 850:1.0 23554:1.0 51715:1.0 71:1.0 317:1.0 318:1.0 319:1.0 320:1.0 321:1.0 322:1.0 323:1.0 831:1.0 5348:1.0 25014:1.0 390:1.0 379:1.0 103:0.6666666666666666 683:0.3333333333333333 104:1.0 395:1.0 426:1.0 427:1.0 428:1.0 474:1.0 475:1.0 476:1.0 51750:1.0 51750:1.0 25073:0.5 25073:0.5 2485:1.0 603:1.0 748:0.5 749:0.5 204:1.0 212:1.0 
3,2:1 324:1.0 325:1.0 326:1.0 71:1.0 821:1.0 1261:1.0 5341:1.0 7226:1.0 25010:1.0 25011:1.0 25012:1.0 831:1.0 7703:1.0 13040:1.0 380:1.0 103:1.0 98:0.5 104:1.0 106:1.0 399:1.0 4996:1.0 4997:1.0 4998:1.0 1426:1.0 4788:1.0 4789:1.0 4790:1.0 518:1.0 518:1.0 13195:0.5 13195:0.5 25096:1.0 25097:1.0 197:0.5 198:0.5 204:1.0 212:1.0 
6,3:1 828:1.0 5346:1.0 25013:1.0 71:1.0 821:1.0 822:1.0 7698:1.0 13034:1.0 13035:1.0 13036:1.0 13037:1.0 44:1.0 45:1.0 46:1.0 105:1.0 103:1.0 381:0.6666666666666666 391:0.3333333333333333 106:1.0 423:1.0 1360:1.0 1361:1.0 13062:1.0 984:1.0 985:1.0 13102:1.0 13103:1.0 25053:1.0 25053:1.0 167:0.5 13230:1.0 13231:1.0 197:0.5 198:0.5 204:1.0 212:1.0 
1,6:1 828:1.0 13038:1.0 13039:1.0 26:1.0 27:1.0 28:1.0 37:1.0 38:1.0 39:1.0 40:1.0 41:1.0 853:1.0 3145:1.0 3146:1.0 105:1.0 96:1.0 106:1.0 111:1.0 112:1.0 113:1.0 114:1.0 115:1.0 116:1.0 117:1.0 118:1.0 119:1.0 120:1.0 132:1.0 133:1.0 134:1.0 135:1.0 136:1.0 137:1.0 138:1.0 139:1.0 140:1.0 141:1.0 13154:1.0 13154:1.0 3353:0.5 3353:0.5 59974:1.0 184:1.0 81645:0.5 14735:0.5 204:1.0 205:1.0 117436:1.0 
7,1:1 34:1.0 42:1.0 43:1.0 264:1.0 843:1.0 3137:1.0 3138:1.0 3139:1.0 3140:1.0 3141:1.0 3142:1.0 1223:1.0 22414:1.0 22415:1.0 95:1.0 1331:0.6666666666666666 381:0.3333333333333333 104:1.0 3225:1.0 3269:1.0 158:1.0 59965:1.0 22528:0.5 22528:0.5 3405:1.0 3406:1.0 3407:0.5 190:0.5 127514:1.0 
3,7:1 850:1.0 3143:1.0 3144:1.0 57:1.0 1213:1.0 4707:1.0 22407:1.0 22408:1.0 22409:1.0 22410:1.0 22411:1.0 831:1.0 4724:1.0 4725:1.0 97:1.0 103:1.0 104:1.0 107:1.0 1343:1.0 19231:1.0 22431:1.0 22432:1.0 22433:1.0 1026:1.0 2748:1.0 4795:1.0 22460:1.0 22461:1.0 3309:1.0 3309:1.0 4863:0.5 4863:0.5 61220:1.0 22556:1.0 22557:1.0 1116:0.5 1117:0.5 204:1.0 96440:1.0 
3,3:1 1220:1.0 22412:1.0 22413:1.0 71:1.0 821:1.0 3600:1.0 4717:1.0 4718:1.0 4719:1.0 4720:1.0 4721:1.0 251:1.0 338:1.0 40151:1.0 105:1.0 103:1.0 382:1.0 107:1.0 423:1.0 4772:1.0 703:1.0 1980:1.0 22496:1.0 22496:1.0 61205:1.0 40236:0.5 40236:0.5 4904:1.0 4905:1.0 744:0.5 745:0.5 204:1.0 212:1.0 
6,3:1 828:1.0 4722:1.0 4723:1.0 71:1.0 241:1.0 330:1.0 331:1.0 11089:1.0 40147:1.0 40148:1.0 40149:1.0 1663:1.0 1664:1.0 1665:1.0 105:1.0 381:1.0 392:0.6666666666666666 379:0.3333333333333333 387:1.0 685:1.0 697:1.0 4503:1.0 7975:1.0 40165:1.0 148:1.0 6561:1.0 12255:1.0 40187:1.0 4828:1.0 4828:1.0 1782:0.5 1782:0.5 40238:1.0 61507:1.0 40262:1.0 197:0.5 198:0.5 204:1.0 
5,6:1 248:1.0 336:1.0 40150:1.0 26:1.0 1653:1.0 1654:1.0 1655:1.0 1656:1.0 1657:1.0 1658:1.0 1659:1.0 92:1.0 262:1.0 7513:1.0 383:1.0 379:1.0 102:0.8571428571428571 98:0.7142857142857143 101:0.5714285714285714 381:0.42857142857142855 95:0.2857142857142857 388:0.14285714285714285 382:1.0 1343:1.0 471:1.0 40207:1.0 40207:1.0 40208:1.0 7635:0.5 7635:0.5 20340:1.0 1811:1.0 1812:1.0 193:0.5 194:0.5 204:1.0 
6,5:1 1660:1.0 1661:1.0 1662:1.0 26:1.0 85:1.0 254:1.0 255:1.0 7508:1.0 7509:1.0 7510:1.0 7511:1.0 92:1.0 809:1.0 5563:1.0 380:1.0 381:1.0 98:0.6666666666666666 391:0.3333333333333333 99:1.0 107:1.0 936:1.0 7537:1.0 7538:1.0 7539:1.0 1026:1.0 2748:1.0 7569:1.0 7570:1.0 1758:1.0 1758:1.0 20319:1.0 5668:0.5 5668:0.5 132298:1.0 7662:1.0 7663:1.0 197:0.5 198:0.5 204:1.0 212:1.0 
4,6:1 236:1.0 260:1.0 7512:1.0 26:1.0 85:1.0 230:1.0 802:1.0 5558:1.0 5559:1.0 5560:1.0 5561:1.0 44:1.0 55:1.0 56:1.0 383:1.0 98:1.0 391:0.5 96:1.0 1332:1.0 109:1.0 4047:1.0 4048:1.0 4049:1.0 5597:1.0 2320:1.0 4063:1.0 5616:1.0 5617:1.0 5618:1.0 7604:1.0 7604:1.0 132283:1.0 169:0.5 169:0.5 6919:1.0 5694:1.0 1116:0.5 1117:0.5 204:1.0 212:1.0 2521:1.0 
7,4:1 236:1.0 807:1.0 5562:1.0 26:1.0 27:1.0 47:1.0 48:1.0 49:1.0 50:1.0 51:1.0 52:1.0 44:1.0 377:1.0 2245:1.0 100:1.0 95:1.0 96:1.0 121:1.0 142:1.0 5642:1.0 5642:1.0 2443:0.5 2443:0.5 77833:1.0 187:1.0 188:1.0 189:0.5 190:0.5 2520:1.0 
7,7:1 34:1.0 53:1.0 54:1.0 26:1.0 27:1.0 47:1.0 372:1.0 2199:1.0 2241:1.0 2242:1.0 2243:1.0 97:1.0 95:1.0 2289:1.0 2341:1.0 160:1.0 160:1.0 77823:1.0 8831:1.0 178:1.0 2490:1.0 2491:1.0 2492:0.5 2493:0.5 5905:1.0 6131:1.0 
9,25:1 71:1.0 241:1.0 298:1.0 1177:1.0 2216:1.0 2217:1.0 2218:1.0 2219:1.0 44:1.0 45:1.0 46:1.0 388:1.0 381:0.5 398:1.0 1355:1.0 2282:1.0 143:1.0 2336:1.0 152:1.0 6587:1.0 167:0.5 2483:1.0 2484:1.0 744:0.5 745:0.5 1831:1.0 206:1.0 212:1.0 213:1.0 
1,9:1 248:1.0 1182:1.0 2220:1.0 26:1.0 27:1.0 28:1.0 37:1.0 38:1.0 39:1.0 40:1.0 41:1.0 1223:1.0 7783:1.0 7784:1.0 390:1.0 111:1.0 112:1.0 113:1.0 114:1.0 115:1.0 116:1.0 117:1.0 118:1.0 119:1.0 120:1.0 132:1.0 133:1.0 134:1.0 135:1.0 136:1.0 137:1.0 138:1.0 139:1.0 140:1.0 141:1.0 2389:1.0 2389:1.0 7863:0.5 7863:0.5 53438:1.0 184:1.0 50621:0.5 50622:0.5 204:1.0 205:1.0 7901:1.0 214:1.0 
3,1:1 34:1.0 42:1.0 43:1.0 57:1.0 1213:1.0 7775:1.0 7776:1.0 7777:1.0 7778:1.0 7779:1.0 7780:1.0 831:1.0 1269:1.0 22598:1.0 104:1.0 107:1.0 109:1.0 123:1.0 7806:1.0 7807:1.0 477:1.0 478:1.0 1394:1.0 7822:1.0 158:1.0 53424:1.0 22664:0.5 22664:0.5 7884:1.0 7885:1.0 197:0.5 198:0.5 204:1.0 215:1.0 
3,3:1 1220:1.0 7781:1.0 7782:1.0 71:1.0 821:1.0 1261:1.0 1262:1.0 1263:1.0 22594:1.0 22595:1.0 22596:1.0 92:1.0 3152:1.0 11935:1.0 103:1.0 98:0.5 387:1.0 107:1.0 423:1.0 4182:1.0 22260:1.0 22604:1.0 444:1.0 1985:1.0 3270:1.0 11884:1.0 7844:1.0 7844:1.0 12005:0.5 12005:0.5 22683:1.0 22684:1.0 197:0.5 198:0.5 204:1.0 212:1.0 216:1.0 
5,3:1 828:1.0 1267:1.0 22597:1.0 26:1.0 85:1.0 1245:1.0 2523:1.0 2524:1.0 2525:1.0 2526:1.0 2527:1.0 92:1.0 809:1.0 810:1.0 105:1.0 379:1.0 391:0.6666666666666666 98:0.3333333333333333 395:1.0 423:1.0 1940:1.0 2547:1.0 2548:1.0 148:1.0 2564:1.0 2565:1.0 2566:1.0 22646:1.0 22646:1.0 12037:1.0 2603:1.0 197:0.5 198:0.5 204:1.0 
4,5:1 236:1.0 2528:1.0 2529:1.0 26:1.0 85:1.0 230:1.0 802:1.0 803:1.0 804:1.0 805:1.0 806:1.0 327:1.0 7941:1.0 7942:1.0 380:1.0 1329:1.0 106:1.0 404:1.0 905:1.0 5383:1.0 6237:1.0 1407:1.0 3282:1.0 11179:1.0 11180:1.0 85771:1.0 85772:1.0 2583:1.0 2583:1.0 8037:0.5 8037:0.5 1108:0.5 1109:0.5 204:1.0 
10,4:1 236:1.0 807:1.0 808:1.0 71:1.0 317:1.0 353:1.0 7934:1.0 7935:1.0 7936:1.0 7937:1.0 7938:1.0 275:1.0 885:1.0 886:1.0 391:1.0 396:1.0 434:1.0 1967:1.0 7960:1.0 7974:1.0 148:1.0 2564:1.0 7996:1.0 7997:1.0 1099:0.5 1099:0.5 8059:1.0 8060:1.0 197:0.5 198:0.5 204:1.0 212:1.0 
7,10:1 324:1.0 7939:1.0 7940:1.0 264:1.0 265:1.0 879:1.0 880:1.0 881:1.0 882:1.0 883:1.0 884:1.0 1223:1.0 4308:1.0 4309:1.0 1330:1.0 413:1.0 414:1.0 960:1.0 460:1.0 461:1.0 1029:1.0 8017:1.0 8017:1.0 73008:0.5 73008:0.5 1141:1.0 1142:1.0 1143:0.5 1144:0.5 
19,7:1 272:1.0 6235:1.0 6236:1.0 57:1.0 1213:1.0 3592:1.0 4301:1.0 4302:1.0 4303:1.0 4304:1.0 4305:1.0 831:1.0 1234:1.0 12075:1.0 104:1.0 396:1.0 1343:1.0 4337:1.0 25183:1.0 72957:1.0 143:1.0 4343:1.0 72972:1.0 72973:1.0 6338:1.0 6338:1.0 12152:0.5 12152:0.5 73029:1.0 73030:1.0 197:0.5 198:0.5 204:1.0 
3,19:1 1220:1.0 4306:1.0 4307:1.0 71:1.0 821:1.0 1226:1.0 1227:1.0 12070:1.0 12071:1.0 12072:1.0 12073:1.0 327:1.0 2239:1.0 27681:1.0 103:1.0 98:0.6666666666666666 381:0.3333333333333333 387:1.0 891:1.0 109:1.0 420:1.0 6836:1.0 12091:1.0 703:1.0 1980:1.0 10119:1.0 12106:1.0 72986:1.0 72986:1.0 27787:0.5 27787:0.5 12178:1.0 12179:1.0 197:0.5 198:0.5 204:1.0 212:1.0 6802:1.0 
2,3:1 828:1.0 1232:1.0 12074:1.0 71:1.0 317:1.0 2231:1.0 2232:1.0 2233:1.0 27677:1.0 27678:1.0 27679:1.0 275:1.0 296:1.0 297:1.0 105:1.0 379:1.0 96:1.0 396:1.0 1338:1.0 2286:1.0 462:1.0 463:1.0 12127:1.0 12127:1.0 545:0.5 545:0.5 27814:1.0 27815:1.0 744:0.5 745:0.5 204:1.0 641:1.0 4146:1.0 
7,2:1 324:1.0 2237:1.0 27680:1.0 264:1.0 265:1.0 288:1.0 289:1.0 290:1.0 291:1.0 292:1.0 293:1.0 380:1.0 95:1.0 419:1.0 467:1.0 27758:1.0 27758:1.0 7643:1.0 178:1.0 591:1.0 592:1.0 593:0.5 190:0.5 3591:1.0 
19,25:1 71:1.0 241:1.0 2620:1.0 7499:1.0 36734:1.0 36735:1.0 36736:1.0 36737:1.0 1858:1.0 2638:1.0 9892:1.0 1329:1.0 106:1.0 404:1.0 3617:1.0 3618:1.0 24929:1.0 24930:1.0 446:1.0 483:1.0 484:1.0 485:1.0 152:1.0 9954:0.5 9954:0.5 1116:0.5 1117:0.5 1831:1.0 213:1.0 
10,19:1 248:1.0 7504:1.0 36738:1.0 57:1.0 1848:1.0 2630:1.0 2631:1.0 9887:1.0 9888:1.0 9889:1.0 9890:1.0 251:1.0 4156:1.0 4157:1.0 391:1.0 381:0.75 103:0.5 98:0.25 389:1.0 1332:1.0 1372:1.0 6823:1.0 9908:1.0 9909:1.0 9910:1.0 148:1.0 2963:1.0 9921:1.0 9922:1.0 9923:1.0 4253:0.5 4253:0.5 9973:1.0 9974:1.0 1116:0.5 1117:0.5 204:1.0 212:1.0 214:1.0 
3,10:1 1855:1.0 2636:1.0 9891:1.0 71:1.0 241:1.0 330:1.0 4149:1.0 4150:1.0 4151:1.0 4152:1.0 4153:1.0 92:1.0 2147:1.0 6822:1.0 1330:1.0 388:1.0 103:0.75 381:0.5 98:0.25 2250:1.0 398:1.0 423:1.0 4182:1.0 4183:1.0 4184:1.0 984:1.0 985:1.0 4205:1.0 4206:1.0 9937:1.0 9937:1.0 40850:0.5 40850:0.5 4276:1.0 4277:1.0 197:0.5 198:0.5 204:1.0 212:1.0 215:1.0 
18,3:1 248:1.0 4154:1.0 4155:1.0 26:1.0 85:1.0 1245:1.0 2140:1.0 4331:1.0 6818:1.0 6819:1.0 6820:1.0 92:1.0 1253:1.0 1254:1.0 390:1.0 684:1.0 102:0.75 101:0.5 381:0.25 5222:1.0 2312:1.0 4231:1.0 4231:1.0 37619:0.5 37619:0.5 40877:1.0 40878:1.0 6404:0.5 6405:0.5 765:1.0 216:1.0 
18,18:1 236:1.0 2145:1.0 6821:1.0 26:1.0 85:1.0 1245:1.0 1246:1.0 1247:1.0 1248:1.0 1249:1.0 1250:1.0 92:1.0 2156:1.0 18000:1.0 2251:1.0 99:1.0 10890:1.0 37528:1.0 37529:1.0 2312:1.0 37557:1.0 37558:1.0 40819:1.0 40819:1.0 45480:0.5 45480:0.5 37639:1.0 37640:1.0 37641:0.5 37642:0.5 765:1.0 
4,18:1 236:1.0 1251:1.0 1252:1.0 26:1.0 85:1.0 230:1.0 2149:1.0 2150:1.0 17996:1.0 17997:1.0 17998:1.0 853:1.0 15279:1.0 18008:1.0 98:1.0 389:1.0 106:1.0 404:1.0 3617:1.0 39835:1.0 45436:1.0 45437:1.0 1407:1.0 3282:1.0 14359:1.0 23695:1.0 45452:1.0 37589:1.0 37589:1.0 120287:0.5 120287:0.5 45494:1.0 45495:1.0 1116:0.5 1117:0.5 204:1.0 212:1.0 
9,4:1 236:1.0 2154:1.0 17999:1.0 264:1.0 843:1.0 2206:1.0 13005:1.0 18003:1.0 18004:1.0 18005:1.0 18006:1.0 92:1.0 239:1.0 10397:1.0 100:1.0 388:1.0 103:0.5 106:1.0 1372:1.0 6823:1.0 9908:1.0 9909:1.0 446:1.0 4520:1.0 35497:1.0 120257:1.0 45465:1.0 45465:1.0 120302:1.0 120303:1.0 197:0.5 198:0.5 204:1.0 774:1.0 212:1.0 
4,9:1 850:1.0 13010:1.0 18007:1.0 26:1.0 85:1.0 230:1.0 231:1.0 1323:1.0 10393:1.0 10394:1.0 10395:1.0 92:1.0 239:1.0 21974:1.0 390:1.0 106:1.0 404:1.0 7006:1.0 7007:1.0 703:1.0 4514:1.0 37227:1.0 37228:1.0 120269:1.0 120269:1.0 22020:0.5 22020:0.5 577:0.5 578:0.5 618:1.0 
4,4:1 236:1.0 237:1.0 10396:1.0 26:1.0 85:1.0 230:1.0 231:1.0 2670:1.0 21970:1.0 21971:1.0 21972:1.0 327:1.0 361:1.0 7933:1.0 1329:1.0 891:1.0 399:1.0 4996:1.0 7953:1.0 21983:1.0 703:1.0 21992:1.0 21993:1.0 21994:1.0 8035:0.5 8035:0.5 22041:1.0 22042:1.0 197:0.5 198:0.5 204:1.0 640:1.0 4403:1.0 
10,4:1 236:1.0 237:1.0 21973:1.0 71:1.0 317:1.0 353:1.0 354:1.0 7928:1.0 7929:1.0 7930:1.0 7931:1.0 44:1.0 377:1.0 378:1.0 391:1.0 395:1.0 423:1.0 424:1.0 436:1.0 437:1.0 1407:1.0 1430:1.0 4804:1.0 7995:1.0 22004:1.0 22004:1.0 76504:0.5 76505:0.5 8057:1.0 8058:1.0 197:0.5 198:0.5 204:1.0 212:1.0 6802:1.0 
11,10:1 324:1.0 359:1.0 7932:1.0 26:1.0 27:1.0 47:1.0 372:1.0 373:1.0 374:1.0 375:1.0 376:1.0 1330:1.0 107:1.0 441:1.0 76475:1.0 142:1.0 76481:1.0 8015:1.0 8015:1.0 134260:1.0 178:1.0 76521:1.0 76522:1.0 10513:0.5 10514:0.5 620:1.0 621:1.0 61308:1.0 4146:1.0 
4,25:1 71:1.0 317:1.0 318:1.0 2883:1.0 2884:1.0 2885:1.0 2886:1.0 2887:1.0 251:1.0 4156:1.0 4157:1.0 98:1.0 101:0.5 389:1.0 106:1.0 429:1.0 430:1.0 431:1.0 2938:1.0 2939:1.0 2940:1.0 2941:1.0 2320:1.0 2321:1.0 2322:1.0 2973:1.0 2974:1.0 2975:1.0 2976:1.0 152:1.0 4253:0.5 4253:0.5 71248:1.0 3063:1.0 2455:0.5 2456:0.5 617:1.0 56087:1.0 212:1.0 213:1.0 
9,4:1 324:1.0 2888:1.0 2889:1.0 71:1.0 241:1.0 330:1.0 4149:1.0 4150:1.0 4151:1.0 4152:1.0 4153:1.0 251:1.0 338:1.0 339:1.0 100:1.0 388:1.0 103:0.75 381:0.5 98:0.25 104:1.0 398:1.0 423:1.0 4182:1.0 4183:1.0 4184:1.0 984:1.0 985:1.0 4205:1.0 4206:1.0 71221:1.0 3000:1.0 557:0.5 557:0.5 4276:1.0 4277:1.0 197:0.5 198:0.5 204:1.0 212:1.0 214:1.0 
3,9:1 248:1.0 4154:1.0 4155:1.0 71:1.0 241:1.0 330:1.0 331:1.0 332:1.0 333:1.0 334:1.0 335:1.0 92:1.0 809:1.0 3702:1.0 390:1.0 103:1.0 98:0.5 99:1.0 107:1.0 429:1.0 430:1.0 431:1.0 432:1.0 433:1.0 477:1.0 478:1.0 479:1.0 480:1.0 481:1.0 4231:1.0 4231:1.0 102214:0.5 102214:0.5 12343:1.0 605:1.0 1116:0.5 1117:0.5 204:1.0 215:1.0 
4,3:1 248:1.0 336:1.0 337:1.0 26:1.0 85:1.0 230:1.0 802:1.0 3154:1.0 3698:1.0 11290:1.0 54267:1.0 1286:1.0 1287:1.0 1288:1.0 105:1.0 98:1.0 103:0.5 389:1.0 396:1.0 404:1.0 905:1.0 102180:1.0 102181:1.0 102182:1.0 446:1.0 4801:1.0 72466:1.0 102183:1.0 102184:1.0 521:1.0 521:1.0 1534:0.5 1534:0.5 102220:1.0 102221:1.0 1116:0.5 1117:0.5 204:1.0 216:1.0 
9,4:1 236:1.0 807:1.0 3701:1.0 264:1.0 1276:1.0 1277:1.0 1278:1.0 1279:1.0 1280:1.0 1281:1.0 1282:1.0 831:1.0 1269:1.0 22598:1.0 100:1.0 388:1.0 381:0.6666666666666666 391:0.3333333333333333 104:1.0 398:1.0 957:1.0 1367:1.0 446:1.0 1420:1.0 102199:1.0 102199:1.0 22664:0.5 22664:0.5 22665:1.0 1590:1.0 1591:1.0 744:0.5 745:0.5 204:1.0 212:1.0 
3,9:1 1283:1.0 1284:1.0 1285:1.0 71:1.0 821:1.0 1261:1.0 1262:1.0 1263:1.0 22594:1.0 22595:1.0 22596:1.0 327:1.0 328:1.0 329:1.0 390:1.0 103:1.0 98:0.5 387:1.0 107:1.0 423:1.0 4182:1.0 22260:1.0 22604:1.0 444:1.0 1985:1.0 3270:1.0 11884:1.0 1479:1.0 1479:1.0 22645:1.0 554:0.5 554:0.5 22683:1.0 22684:1.0 197:0.5 198:0.5 204:1.0 41429:1.0 212:1.0 
2,3:1 828:1.0 1267:1.0 22597:1.0 71:1.0 317:1.0 318:1.0 319:1.0 320:1.0 321:1.0 322:1.0 323:1.0 251:1.0 252:1.0 16500:1.0 105:1.0 379:1.0 103:0.6666666666666666 683:0.3333333333333333 104:1.0 395:1.0 426:1.0 427:1.0 428:1.0 474:1.0 475:1.0 476:1.0 22646:1.0 22646:1.0 16614:0.5 16614:0.5 127003:1.0 2485:1.0 603:1.0 748:0.5 749:0.5 204:1.0 212:1.0 
3,2:1 324:1.0 325:1.0 326:1.0 71:1.0 241:1.0 242:1.0 243:1.0 16495:1.0 16496:1.0 16497:1.0 16498:1.0 92:1.0 1253:1.0 1275:1.0 380:1.0 103:1.0 98:0.5 382:1.0 107:1.0 1372:1.0 16523:1.0 16524:1.0 16525:1.0 451:1.0 452:1.0 453:1.0 454:1.0 518:1.0 518:1.0 126976:1.0 8818:0.5 8818:0.5 16635:1.0 16636:1.0 197:0.5 198:0.5 204:1.0 212:1.0 
6,3:1 248:1.0 249:1.0 16499:1.0 26:1.0 85:1.0 1245:1.0 1246:1.0 1247:1.0 1271:1.0 8738:1.0 8739:1.0 275:1.0 819:1.0 820:1.0 105:1.0 381:1.0 96:1.0 685:1.0 936:1.0 1346:1.0 8762:1.0 1415:1.0 8771:1.0 8772:1.0 16590:1.0 16590:1.0 1077:0.5 1077:0.5 28037:1.0 8847:1.0 8848:1.0 748:0.5 749:0.5 204:1.0 28958:1.0 212:1.0 
7,6:1 236:1.0 1251:1.0 1274:1.0 264:1.0 265:1.0 811:1.0 812:1.0 813:1.0 814:1.0 815:1.0 816:1.0 82:1.0 1175:1.0 1176:1.0 383:1.0 95:1.0 683:0.5 104:1.0 413:1.0 460:1.0 8793:1.0 8793:1.0 28032:1.0 117216:0.5 1500:0.5 1118:1.0 1119:1.0 1120:0.5 190:0.5 
3,7:1 272:1.0 817:1.0 818:1.0 71:1.0 72:1.0 1167:1.0 1168:1.0 1169:1.0 1170:1.0 1171:1.0 1172:1.0 1223:1.0 4308:1.0 12541:1.0 97:1.0 103:1.0 107:1.0 909:1.0 914:1.0 915:1.0 1333:1.0 1334:1.0 446:1.0 483:1.0 1388:1.0 1389:1.0 1390:1.0 1043:1.0 1043:1.0 12697:0.5 12698:0.5 117232:1.0 1561:1.0 577:0.5 578:0.5 618:1.0 12760:1.0 212:1.0 
19,3:1 79:1.0 1173:1.0 1174:1.0 57:1.0 1213:1.0 3592:1.0 4301:1.0 12536:1.0 12537:1.0 12538:1.0 12539:1.0 831:1.0 5348:1.0 25014:1.0 105:1.0 104:1.0 396:1.0 1372:1.0 6823:1.0 12574:1.0 12575:1.0 143:1.0 2721:1.0 12606:1.0 12607:1.0 117201:1.0 1447:1.0 25073:0.5 25073:0.5 12730:1.0 12731:1.0 12732:0.5 12733:0.5 618:1.0 
3,19:1 1220:1.0 4306:1.0 12540:1.0 71:1.0 821:1.0 1261:1.0 5341:1.0 7226:1.0 25010:1.0 25011:1.0 25012:1.0 92:1.0 3152:1.0 11935:1.0 103:1.0 98:0.5 387:1.0 106:1.0 399:1.0 4996:1.0 4997:1.0 4998:1.0 1426:1.0 4788:1.0 4789:1.0 4790:1.0 12651:1.0 12652:1.0 12005:0.5 12005:0.5 25096:1.0 25097:1.0 197:0.5 198:0.5 204:1.0 212:1.0 
5,3:1 828:1.0 5346:1.0 25013:1.0 26:1.0 85:1.0 1245:1.0 2523:1.0 2524:1.0 2525:1.0 2526:1.0 2527:1.0 92:1.0 93:1.0 1212:1.0 105:1.0 379:1.0 391:0.6666666666666666 98:0.3333333333333333 395:1.0 423:1.0 1940:1.0 2547:1.0 2548:1.0 148:1.0 2564:1.0 2565:1.0 2566:1.0 25053:1.0 25053:1.0 12037:1.0 2603:1.0 197:0.5 198:0.5 204:1.0 
8,5:1 236:1.0 2528:1.0 2529:1.0 26:1.0 85:1.0 86:1.0 87:1.0 1207:1.0 1208:1.0 1209:1.0 1210:1.0 1286:1.0 1287:1.0 1288:1.0 380:1.0 389:1.0 398:1.0 404:1.0 905:1.0 24379:1.0 148:1.0 23571:1.0 77671:1.0 2583:1.0 2583:1.0 1534:0.5 1534:0.5 2830:0.5 2831:0.5 619:1.0 640:1.0 212:1.0 
